Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Parent,Parent summary,Status Category
Create a nav menu in accordance with the parent website.,CP2077-65,10065,Subtask,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,27/Mar/23 12:05 PM,27/Mar/23 12:06 PM,28/Mar/23 4:09 PM,,,0,FrontEnd,,"To perfectly match the parent website and to make sure that the user doesn’t feel any form of disconnection between this and the parent website, the app must replicate the exact same nav menu.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0004v:,Sprint 2,Sprint 3,,,,10035,"As a developer, I want to create a reusable Header component",To Do
Implement an input checkbox alongside or a notice that asks the user if agree with the privacy policy terms.,CP2077-64,10064,Task,DISCONTINUED,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Low,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,27/Mar/23 11:19 AM,28/Mar/23 4:09 PM,27/Mar/23 11:19 AM,,,0,Code,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0000u:ws,Sprint 3,,,,,10009,Create Security Measures to handle sensitive data,In Progress
As a user I want a loading screen animation on the landing page that fowllows the theme and styling of the parent website,CP2077-63,10063,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 1:11 PM,27/Mar/23 3:35 PM,27/Mar/23 9:53 AM,27/Mar/23 3:35 PM,,0,FrontEnd,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-50,,,,,,,,"{build={count=1, dataType=build, failedBuildCount=0, successfulBuildCount=1, unknownBuildCount=0}, repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2023-03-27T15:07:29.000+0200"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}},""build"":{""overall"":{""count"":1,""lastUpdated"":null,""failedBuildCount"":0,""successfulBuildCount"":1,""unknownBuildCount"":0,""dataType"":""build""},""byInstanceType"":{""cloud-providers"":{""count"":1,""name"":""Other providers""}}}}},""isStale"":true}}",,0|i00013:6,Sprint 3,,,,2.0,10014,FrontEnd Tasks,Done
Styling errors on mobile,CP2077-62,10062,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:28 PM,23/Mar/23 12:36 PM,23/Mar/23 1:05 PM,23/Mar/23 12:36 PM,,0,,,"h1. The form and carousel are breaking again on very narrow displays.

Fixed successfully: changing the width of the component dynamically via React using useEffect() to trigger the render of the carousel after the initial render in order to avoid the glitchy view. The form has been given a fixed view height value and percentage to make sure it’s always in the display.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-54,,,,,{},,0|i00020:,Sprint 3,,,,,,,Done
NavMenu Hover Bug,CP2077-61,10061,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:27 PM,23/Mar/23 12:39 PM,23/Mar/23 12:37 PM,23/Mar/23 12:29 PM,,0,FrontEnd,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:1,Sprint 3,,,,,,,Done
NavMenu scroll bug,CP2077-60,10060,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:26 PM,23/Mar/23 12:41 PM,23/Mar/23 12:40 PM,23/Mar/23 12:29 PM,,0,,,"h1. The menu isn't on the page but on top of the page, making it scrollable

Reason: The position was set to relative.

Fix: Changed the menu to Position: fixed in order for it stay on screen regardless of scroll, just like the parent website.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:2,Sprint 3,,,,,,,Done
Transition,CP2077-59,10059,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:24 PM,23/Mar/23 12:41 PM,23/Mar/23 12:41 PM,23/Mar/23 12:29 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:4,Sprint 3,,,,,,,Done
Scrolling bug,CP2077-58,10058,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:24 PM,23/Mar/23 12:43 PM,23/Mar/23 12:42 PM,23/Mar/23 12:29 PM,,0,,,"When navigating between pages the scroll was automatic from the last page.

Reason: Due to the nature of React it wasn’t exactly a new page but a re-render.

Fix: Created a custom hook that scrolls back to the top on navigation.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:9,Sprint 3,,,,,,,Done
The API requires a preimium subscription in order to also have the ability to send attatchments,CP2077-57,10057,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Low,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:23 PM,28/Mar/23 4:08 PM,23/Mar/23 12:35 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:5o,Sprint 3,,,,,,,Done
Custom Inputs field components don't match the parent website styling,CP2077-56,10056,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:22 PM,23/Mar/23 12:45 PM,23/Mar/23 12:43 PM,23/Mar/23 12:29 PM,,0,,,"Custom Inputs field components that I made don't match the parent website styling

Reason: I couldn’t recreate the effect and animation myself

Fix: Modified MUI TextField components to match the design/",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:i,Sprint 3,,,,,,,Done
Header scrolls along with the page,CP2077-55,10055,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:22 PM,23/Mar/23 12:39 PM,23/Mar/23 12:40 PM,23/Mar/23 12:28 PM,,0,FrontEnd,,"h1. It needs to be in a fixed position to match the parent website

Reason: The position was set to relative.

Fix: Changed the header to Position: fixed in order for it stay on screen regardless of scroll, just like the parent website.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:,Sprint 3,,,,,,,Done
The Image carousel doesn't look right on mobile unless it's shortened down from desktop mode to mobile,CP2077-54,10054,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:21 PM,23/Mar/23 12:36 PM,23/Mar/23 12:37 PM,23/Mar/23 12:28 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-62,,,,,,,,{},,0|i00021:,Sprint 3,,,,,,,Done
Documenting the code,CP2077-53,10053,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:19 PM,28/Mar/23 4:08 PM,23/Mar/23 12:19 PM,28/Mar/23 4:08 PM,,0,Documentation,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:5r,Sprint 3,,,,3.0,10052,Documentation,Done
Documentation,CP2077-52,10052,Epic,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:18 PM,23/Mar/23 12:18 PM,28/Mar/23 4:10 PM,,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0004f:,,,,,,,,To Do
Create the navigation menu in accordance with the parent website's design,CP2077-51,10051,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,21/Mar/23 12:48 PM,28/Mar/23 4:08 PM,23/Mar/23 12:31 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-50,CP2077-21,,,,,,,{},,0|i00013:5j,Sprint 3,,,,,10014,FrontEnd Tasks,Done
Create a loading transition in between pages to match the headline theme,CP2077-50,10050,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,21/Mar/23 9:27 AM,28/Mar/23 4:08 PM,27/Mar/23 11:36 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-21,,,CP2077-51,CP2077-63,,,,{},,0|i00013:5m,Sprint 3,,,,,10014,FrontEnd Tasks,Done
Adjust the styling to look in line with the desktop figma design,CP2077-49,10049,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 3:13 PM,28/Mar/23 4:08 PM,27/Mar/23 11:35 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-48,,,,,{},,0|i00013:5i2,Sprint 2,Sprint 3,,,,10014,FrontEnd Tasks,Done
As a user I want to be able to use the website on Desktop,CP2077-48,10048,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Highest,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 3:13 PM,28/Mar/23 4:08 PM,27/Mar/23 11:34 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-49,,,,,,,,{},,0|i00013:5i9,Sprint 2,Sprint 3,,,,10014,FrontEnd Tasks,Done
Create a router for easier navigation between pages,CP2077-47,10047,Epic,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 11:45 AM,20/Mar/23 11:45 AM,28/Mar/23 4:10 PM,,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00047:,,,,,,,,To Do
Add an auto scroll to top when redirecting to a new page,CP2077-46,10046,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Low,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 11:43 AM,28/Mar/23 4:08 PM,27/Mar/23 11:33 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-38,,,,,,,,{},,0|i00013:409,Sprint 2,Sprint 3,,,,10047,Create a router for easier navigation between pages,Done
Add a transition whenever redirecting to a new a page,CP2077-45,10045,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 11:43 AM,28/Mar/23 4:08 PM,27/Mar/23 11:31 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:41,Sprint 2,Sprint 3,,,,10047,Create a router for easier navigation between pages,Done
Create an error handling page on form unsucessful,CP2077-44,10044,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Low,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 9:47 AM,28/Mar/23 4:08 PM,27/Mar/23 11:28 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-42,,,,,{},,0|i00013:5ii,Sprint 2,Sprint 3,,,,10030,BackEnd Tasks,Done
Create a completetion page on form succesful,CP2077-43,10043,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 9:47 AM,28/Mar/23 4:08 PM,27/Mar/23 11:27 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-42,,,,,{},,0|i00013:5i4,Sprint 2,Sprint 3,,,,10014,FrontEnd Tasks,Done
As a user I want to be able to know if my application has been sent succesfully,CP2077-42,10042,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 9:46 AM,28/Mar/23 4:08 PM,27/Mar/23 11:26 AM,28/Mar/23 4:08 PM,,0,Code,FrontEnd,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-43,CP2077-44,,,,,,,{},,0|i00013:5i1,Sprint 2,Sprint 3,,,,10030,BackEnd Tasks,Done
Create the mobile design for the website,CP2077-41,10041,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,20/Mar/23 9:40 AM,20/Mar/23 9:42 AM,27/Mar/23 11:35 AM,20/Mar/23 9:41 AM,,0,Design,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,20/Mar/23 9:42 AM;63fa6fbe4e86f362d39c67f9;image-20230320-084206.png;https://xr-vision.atlassian.net/secure/attachment/10010/image-20230320-084206.png,,,{},,0|i0000z:,Sprint 2,,,,,10006,Create the website design,Done
Create a back button,CP2077-40,10040,Subtask,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,15/Mar/23 7:17 PM,15/Mar/23 7:20 PM,15/Mar/23 7:20 PM,,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0003j:,Sprint 2,Sprint 3,,,,10038, As a developer I want all the pages to have their own dedicated routes and be able to navigate between them.,To Do
As a user I want to be able to go back to the landing page from the form.,CP2077-39,10039,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,15/Mar/23 7:17 PM,28/Mar/23 4:08 PM,27/Mar/23 12:15 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-38,,,,,,,,{},,0|i00013:42,Sprint 2,Sprint 3,,,,10047,Create a router for easier navigation between pages,Done
 As a developer I want all the pages to have their own dedicated routes and be able to navigate between them.,CP2077-38,10038,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,15/Mar/23 7:16 PM,28/Mar/23 4:08 PM,27/Mar/23 11:21 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-39,CP2077-46,,,,{},,0|i00013:44,Sprint 2,Sprint 3,,,,10047,Create a router for easier navigation between pages,Done
As a developer I want to create a reusable Title component,CP2077-37,10037,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,13/Mar/23 4:44 PM,28/Mar/23 4:08 PM,27/Mar/23 11:20 AM,28/Mar/23 4:08 PM,,0,FrontEnd,,Since Title is used in different pages in different contexts I want to have a reusable dynamic React header component that takes all of its required data as props.,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-16,,,,,{},,0|i00013:49,Sprint 2,Sprint 3,,,,10014,FrontEnd Tasks,Done
Create a reusable footer component,CP2077-36,10036,Task,DISCONTINUED,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Low,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,13/Mar/23 4:44 PM,28/Mar/23 4:09 PM,23/Mar/23 12:59 PM,,,0,FrontEnd,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-16,,,,,{},,0|i0000u:wt,Sprint 2,Sprint 3,,,2.0,10014,FrontEnd Tasks,In Progress
"As a developer, I want to create a reusable Header component",CP2077-35,10035,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,13/Mar/23 4:44 PM,28/Mar/23 4:08 PM,27/Mar/23 12:04 PM,28/Mar/23 4:08 PM,,0,FrontEnd,,Since Header may be used in different pages in different contexts in the future I want to have a reusable dynamic React header component that takes all of its required data as props.,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-16,,,,,{},,0|i00013:401,Sprint 2,Sprint 3,,,,10014,FrontEnd Tasks,Done
Format a template for emails in EmailJS,CP2077-34,10034,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,08/Mar/23 5:01 PM,28/Mar/23 4:08 PM,08/Mar/23 5:01 PM,28/Mar/23 4:08 PM,,0,API,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-29,,,,,,,,{},,0|i00013:4004,Sprint 2,Sprint 3,,,,10030,BackEnd Tasks,Done
